id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
100219,Deodoranti,deodoranti,19,1,10,0,0,,0
100220,Rasatura e Epilazione,rasatura-epilazione,19,1,5,0,0,,0
100221,Depilazione e Rasatura,depilazione-rasatura,19,1,2,0,0,,0
100222,"Salviette, Cotone, Assorbenti",salviette-cotone-assorbenti,19,1,6,0,0,,0
100223,Cura personale,cura-personale,19,1,4,0,0,,0
100224,Spugne e pettini,spugne-pettini,19,1,2,0,0,,0
100225,Solari,solari,19,1,1,0,0,,0
100226,Speciali e professionali,speciali-professionali,20,1,0,0,0,,0
100227,Bucato a mano,bucato-mano,20,1,0,0,0,,0
100228,Detersivi bucato,detersivi-bucato,20,1,4,24,0,,0
100230,Smacchiatori e Sbiancanti,smacchiatori-sbiancanti,20,1,0,0,0,,0
100231,Piano Cucina,piano-cucina,20,1,8,0,0,,0
100232,Piatti e Stoviglie,piatti-stoviglie,20,1,7,0,0,,0
100233,Detersivi Casa,detersivi-casa,20,1,6,0,0,,0
100234,Detersivi bagno,detersivi-bagno,20,1,5,0,0,,0
100235,Stiraggio,stiraggio,20,1,3,0,0,,0
100236,Accessori per la pulizia,accessori-pulizia,20,1,2,0,0,,0
100237,Sacchi e Guanti,sacchi-guanti,20,1,0,0,0,,0
100238,Scope e accessori,scope-accessori,20,1,0,0,0,,0
100239,"Asse stiro, contenitori e accessori",asse-stiro-contenitori-accessori,20,1,0,0,0,,0
100240,Carta Igienica e Fazzoletti,carta-igienica-fazzoletti,19,1,7,0,0,,0
100241,Asciugatutto e Tovaglioli,asciugatutto-tovaglioli,21,1,9,0,0,,0
100243,Tovaglia e tovaglioli,tovaglia-tovaglioli,21,1,0,0,0,,0
100244,Vaschette e contenitori,vaschette-contenitori,21,1,4,0,0,,0
100245,Piatti e posate,piatti-posate,21,1,6,0,0,,0
100246,Bicchieri e cannucce,bicchieri-cannucce,21,1,0,0,0,,0
100248,Accessori per cottura,accessori-cottura,,1,0,0,0,,0
100250,Rotoli e Pellicole,rotoli-pellicole,21,1,8,0,0,,0
100252,Sacchetti alimentari,sacchetti-alimentari,21,1,7,0,0,,0
100254,Casalinghi,casalinghi,21,1,0,0,0,,0
100255,Biancheria per il letto,biancheria-letto,,1,0,0,0,,0
100256,Biancheria per la casa,biancheria-casa,,1,0,0,0,,0
100257,Varie,varie,21,1,1,0,0,,0
100258,Lucidi per calzature,lucidi-calzature,,1,0,0,0,,0
100260,Deodoranti ambienti,deodoranti-ambienti,20,1,1,0,0,,0
100261,Candele e olii profumati,candele-olii-profumati,,1,0,0,0,,0
100262,Prese e prolunghe,prese-prolunghe,,1,0,0,0,,0
100264,"Pile, lampadine e prese",pile-lampadine-prese,21,1,3,0,0,,0
100265,Insetticidi,insetticidi,13,1,4,0,0,,0
100266,Barbecue,barbecue,13,1,3,0,0,,0
100268,Giardinaggio,giardinaggio,13,1,2,0,0,,0
100269,Fiori artificiali,fiori-artificiali,,1,0,0,0,,0
100272,Insalate e Verdure in Busta,insalate-verdure-busta,3,1,3,0,0,,0
100276,Frutta Secca e Sciroppata,frutta-secca-sciroppata,3,1,1,0,0,,0
100278,Manzo e Vitello,manzo-vitello,1,1,8,0,0,,0
100280,Altre Carni,altre-carni,1,1,5,0,0,,0
100282,Carni pronte,carni-pronte,1,1,4,0,0,,0
100284,Pesce,pesce,1,1,3,0,0,,0
100286,Molluschi e Crostacei,molluschi-crostacei,1,1,2,0,0,,0
100288,Specialità di Pesce,specialita-pesce,1,1,1,0,0,,0
100290,Formaggi Confezionati,formaggi-confezionati,4,1,4,0,0,,0
100292,Burro e Margarina,burro-margarina,6,1,6,0,0,,0
100294,"Panna, Besciamella e Mascarpone",panna-besciamella-mascarpone,6,1,5,0,0,,0
100296,Yogurt Benessere,yogurt-benessere,,1,3,0,0,,0
100298,Dessert,dessert,6,1,1,0,0,,0
100300,Banco Forno,banco-forno,8,1,6,0,0,,0
100302,Cracker e Sostitutivi,cracker-sostitutivi,8,1,3,0,0,,0
100304,Pane Grattugiato,pane-grattugiato,8,1,1,0,0,,0
100306,Piadine,piadine,8,1,2,0,0,,0
100308,Pane Confezionato,pane-confezionato,8,1,5,0,0,,0
100312,Riso e cereali,riso-cereali,12,1,3,0,0,,0
100314,Primi Pronti,primi-pronti,12,1,1,0,0,,0
100316,Basi e Sfoglie,basi-sfoglie,12,1,4,0,0,,0
100320,Preparati per Pane e Pizze,preparati-per-pane-pizze,28,1,4,0,0,,0
100322,Purè e Polenta,pure-polenta,28,1,3,0,0,,0
100324,Lieviti,lieviti,28,1,1,0,0,,0
100326,Orzo,orzo,10,1,4,0,0,,0
100328,Tè,te,10,1,3,0,0,,0
100330,Tisane,tisane,10,1,2,0,0,,0
100332,Zucchero e dolcificanti,zucchero-dolcificanti,10,1,1,0,0,,0
100334,Merendine e Torte Confezionate,merendine-torte-confezionate,11,1,7,0,0,,0
100336,Cacao e Cioccolata in Polvere,cacao-cioccolata-polvere,11,1,5,0,0,,0
100338,Snack Dolci,snack-dolci,11,1,3,0,0,,0
100342,Stuzzicadenti e spiedi,stuzzicadenti-spiedi,21,1,5,0,0,,0
100346,Cancelleria,cancelleria,,1,1,0,0,,0
100352,Specialità e torroni,special-torroni,29,1,1,0,0,,0
100354,Pandori e panettoni,pandori,29,1,2,0,0,,0
100356,Panettoni,panettoni,,1,3,0,0,,0
100358,Uova e altre specialità di Pasqua,second-uova-altre-specialita,30,1,1,0,0,,0
100360,Pasta fresca,pasta-fresca,31,1,2,0,0,,0
100362,Brodi,brodi,31,1,1,0,0,,0
100364,Vegano,vegano,32,1,1,0,0,,0
100366,Panini pronti,panini-pronti,8,1,0,0,0,,0
100370,Basilicata,2-basilicata-vini-bianchi,33,1,0,0,0,,0
100372,Calabria,2-calabria-vini-bianchi,33,1,0,0,0,,0
100374,Campania,2-campania-vini-bianchi,33,1,0,0,0,,0
100376,Emilia-Romagna,2-emilia-romagna-vini-bianchi,33,1,0,0,0,,0
100378,Friuli-Venezia Giulia,2-friuli-venezia giulia-vini-bianchi,33,1,0,0,0,,0
100380,Lazio,2-lazio-vini-bianchi,33,1,0,0,0,,0
100382,Liguria,2-liguria-vini-bianchi,33,1,0,0,0,,0
100384,Lombardia,2-lombardia-vini-bianchi,33,1,0,0,0,,0
100386,Marche,2-marche-vini-bianchi,33,1,0,0,0,,0
100388,Molise,2-molise-vini-bianchi,33,1,0,0,0,,0
100390,Piemonte,2-piemonte-vini-bianchi,33,1,0,0,0,,0
100392,Puglia,2-puglia-vini-bianchi,33,1,0,0,0,,0
100394,Sardegna,2-sardegna-vini-bianchi,33,1,0,0,0,,0
100396,Sicilia,2-sicilia-vini-bianchi,33,1,0,0,0,,0
100398,Toscana,2-toscana-vini-bianchi,33,1,0,0,0,,0
100400,Trentino-Alto Adige,2-trentino-alto adige-vini-bianchi,33,1,0,0,0,,0
100402,Umbria,2-umbria-vini-bianchi,33,1,0,0,0,,0
100404,Valle d'Aosta,2-valle d'aosta-vini-bianchi,33,1,0,0,0,,0
100406,Veneto,2-veneto-vini-bianchi,33,1,0,0,0,,0
100408,Abruzzo,2-abruzzo-vini-rossi,34,1,0,0,0,,0
100410,Basilicata,2-basilicata-vini-rossi,34,1,0,0,0,,0
100412,Calabria,2-calabria-vini-rossi,34,1,0,0,0,,0
100414,Campania,2-campania-vini-rossi,34,1,0,0,0,,0
100416,Emilia-Romagna,2-emilia-romagna-vini-rossi,34,1,0,0,0,,0
100418,Friuli-Venezia Giulia,2-friuli-venezia giulia-vini-rossi,34,1,0,0,0,,0
100420,Lazio,2-lazio-vini-rossi,34,1,0,0,0,,0
100422,Liguria,2-liguria-vini-rossi,34,1,0,0,0,,0
100424,Lombardia,2-lombardia-vini-rossi,34,1,0,0,0,,0
100426,Marche,2-marche-vini-rossi,34,1,0,0,0,,0
100428,Molise,2-molise-vini-rossi,34,1,0,0,0,,0
100430,Piemonte,2-piemonte-vini-rossi,34,1,0,0,0,,0
100432,Puglia,2-puglia-vini-rossi,34,1,0,0,0,,0
